transaction_id,account_id,amount,transaction_date,transaction_type
1001,201,-1841.64,2024-02-17,Debit
1002,201,4503.63,2024-04-29,Credit
1003,201,-4330.12,2024-03-10,Debit
1004,201,-3600.52,2024-02-21,Debit
1005,201,-4659.21,2024-05-06,Debit
1006,201,-333.11,2024-01-22,Debit
1007,201,4008.78,2024-09-22,Credit
1008,201,-3586.34,2024-08-30,Debit
1009,201,2141.82,2024-06-26,Credit
1010,201,-1330.13,2024-12-21,Debit
1011,201,3821.91,2024-10-23,Credit
1012,201,-597.16,2024-04-10,Debit
1013,201,-1234.76,2024-04-22,Debit
1014,201,2807.28,2024-03-11,Credit
1015,201,1945.9,2024-08-05,Credit
1016,201,681.73,2024-10-18,Credit
1017,201,2361.13,2024-05-22,Credit
1018,201,-4201.6,2024-05-05,Debit
1019,201,-1147.67,2024-04-04,Debit
1020,201,1201.6,2024-01-10,Credit
1021,201,-1680.05,2024-05-09,Debit
1022,201,-1221.93,2024-07-13,Debit
1023,201,4988.09,2024-09-16,Credit
1024,201,2420.93,2024-11-16,Credit
1025,201,-874.89,2024-08-15,Debit
1026,201,4227.07,2024-12-21,Credit
1027,201,-1196.53,2024-04-30,Debit
1028,201,295.7,2024-07-24,Credit
1029,201,-1684.73,2024-02-27,Debit
1030,201,-2231.77,2024-11-29,Debit
1031,201,1268.02,2024-09-11,Credit
1032,201,-2555.45,2024-05-22,Debit
1033,201,3446.19,2024-10-09,Credit
1034,201,-2908.05,2024-01-03,Debit
1035,202,3921.52,2024-02-22,Credit
1036,202,-1257.29,2024-12-12,Debit
1037,202,-2205.27,2024-07-04,Debit
1038,202,-3031.79,2024-03-14,Debit
1039,202,720.92,2024-11-30,Credit
1040,202,4500.96,2024-05-10,Credit
1041,202,2870.03,2024-10-24,Credit
1042,202,-550.56,2024-04-05,Debit
1043,202,-2616.81,2024-01-21,Debit
1044,202,-3392.75,2024-07-18,Debit
1045,202,-1498.35,2024-02-08,Debit
1046,202,4850.33,2024-04-01,Credit
1047,202,790.29,2024-07-19,Credit
1048,202,879.93,2024-04-03,Credit
1049,202,-4027.54,2024-01-25,Debit
1050,202,1446.53,2024-03-29,Credit
1051,202,2986.91,2024-04-02,Credit
1052,202,-1807.97,2024-03-19,Debit
1053,202,1020.21,2024-12-02,Credit
1054,202,-3253.31,2024-01-15,Debit
1055,202,-639.75,2024-02-11,Debit
1056,202,-3525.45,2024-06-02,Debit
1057,202,2168.89,2024-03-17,Credit
1058,202,15.09,2024-03-15,Credit
1059,202,2183.45,2024-05-26,Credit
1060,202,1927.96,2024-03-25,Credit
1061,202,-2763.07,2024-12-29,Debit
1062,202,-1248.13,2024-03-11,Debit
1063,202,3005.74,2024-12-15,Credit
1064,202,-3680.68,2024-03-02,Debit
1065,202,-1509.25,2024-05-22,Debit
1066,202,-2326.65,2024-09-18,Debit
1067,202,-3123.63,2024-02-02,Debit
1068,202,-3149.22,2024-07-21,Debit
1069,202,3586.51,2024-10-16,Credit
1070,202,4334.89,2024-01-12,Credit
1071,202,-3923.03,2024-09-18,Debit
1072,202,-1553.06,2024-06-19,Debit
1073,202,38.3,2024-06-20,Credit
1074,202,-1180.11,2024-10-15,Debit
1075,202,4351.28,2024-07-29,Credit
1076,202,3486.42,2024-04-21,Credit
1077,202,2712.56,2024-09-24,Credit
1078,202,-611.94,2024-08-21,Debit
1079,202,1283.21,2024-11-07,Credit
1080,203,-993.82,2024-02-09,Debit
1081,203,-1521.2,2024-07-27,Debit
1082,203,3383.33,2024-07-05,Credit
1083,203,-2545.41,2024-06-16,Debit
1084,203,-3486.12,2024-04-02,Debit
1085,203,838.33,2024-10-07,Credit
1086,203,3931.02,2024-11-21,Credit
1087,203,3242.46,2024-02-03,Credit
1088,203,3166.55,2024-09-03,Credit
1089,203,3282.51,2024-08-29,Credit
1090,203,-325.0,2024-04-30,Debit
1091,203,1749.96,2024-11-15,Credit
1092,203,4534.57,2024-10-16,Credit
1093,203,-82.61,2024-12-24,Debit
1094,203,3971.03,2024-11-06,Credit
1095,203,1004.69,2024-04-20,Credit
1096,203,1211.73,2024-07-21,Credit
1097,203,-287.25,2024-06-27,Debit
1098,203,1494.14,2024-09-27,Credit
1099,203,-3355.95,2024-03-22,Debit
1100,203,362.86,2024-10-18,Credit
1101,203,1607.42,2024-09-29,Credit
1102,203,1156.89,2024-10-15,Credit
1103,203,-1506.81,2024-07-09,Debit
1104,203,2635.89,2024-09-07,Credit
1105,203,-4029.16,2024-05-20,Debit
1106,203,4695.56,2024-11-07,Credit
1107,203,1760.53,2024-09-14,Credit
1108,203,4451.71,2024-04-01,Credit
1109,203,-3088.96,2024-05-26,Debit
1110,204,-4206.19,2024-07-13,Debit
1111,204,3798.86,2024-04-09,Credit
1112,204,2171.58,2024-10-15,Credit
1113,204,-880.76,2024-06-03,Debit
1114,204,2025.38,2024-07-09,Credit
1115,204,1606.35,2024-06-11,Credit
1116,204,169.3,2024-09-06,Credit
1117,204,49.48,2024-02-17,Credit
1118,204,-2706.16,2024-07-11,Debit
1119,204,-1801.11,2024-08-01,Debit
1120,204,3414.39,2024-10-13,Credit
1121,204,994.99,2024-07-16,Credit
1122,204,957.1,2024-03-31,Credit
1123,204,1637.1,2024-06-09,Credit
1124,204,4147.1,2024-05-18,Credit
1125,204,-1387.11,2024-03-11,Debit
1126,204,4186.78,2024-03-21,Credit
1127,204,1637.44,2024-10-10,Credit
1128,204,1449.43,2024-06-30,Credit
1129,204,1092.35,2024-11-10,Credit
1130,204,-4558.52,2024-09-02,Debit
1131,204,-3024.22,2024-09-22,Debit
1132,204,-1802.73,2024-10-20,Debit
1133,204,2221.47,2024-02-10,Credit
1134,204,4053.41,2024-01-03,Credit
1135,204,-1393.08,2024-09-23,Debit
1136,204,3190.76,2024-07-26,Credit
1137,204,2186.15,2024-06-05,Credit
1138,204,-4255.14,2024-11-28,Debit
1139,204,-1790.8,2024-11-01,Debit
1140,204,-3573.55,2024-05-17,Debit
1141,204,-2859.78,2024-12-14,Debit
1142,204,2129.63,2024-06-18,Credit
1143,204,-1854.68,2024-10-15,Debit
1144,204,2859.38,2024-07-14,Credit
1145,204,4253.76,2024-03-28,Credit
1146,204,-2619.57,2024-02-26,Debit
1147,204,-1754.99,2024-08-22,Debit
1148,204,-2605.45,2024-02-20,Debit
1149,205,3365.78,2024-10-04,Credit
1150,205,-2033.22,2024-08-01,Debit
1151,205,235.34,2024-11-25,Credit
1152,205,2519.3,2024-09-09,Credit
1153,205,-334.29,2024-01-15,Debit
